@relation './imbalanced dataset/cod-rna.libsvm-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute att_1 numeric
@attribute att_2 numeric
@attribute att_3 numeric
@attribute att_4 numeric
@attribute att_5 numeric
@attribute att_6 numeric
@attribute att_7 numeric
@attribute att_8 numeric
@attribute class {-1,1}

@data
{0 -632,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.220339,6 0.20339,7 0.288136}
{0 -1050,1 128,2 0.140625,3 0.304688,4 0.234375,5 0.140625,6 0.304688,7 0.234375,8 1}
{0 -982,1 131,2 0.129771,3 0.328244,4 0.229008,5 0.129771,6 0.328244,7 0.229008,8 1}
{0 -844,1 123,2 0.146341,3 0.333333,4 0.211382,5 0.146341,6 0.333333,7 0.211382,8 1}
{0 -966,1 124,2 0.137097,3 0.322581,4 0.233871,5 0.137097,6 0.322581,7 0.233871,8 1}
{0 -692,1 130,2 0.153846,3 0.392308,4 0.184615,5 0.153846,6 0.392308,7 0.184615,8 1}
{0 -1426,1 124,2 0.193548,3 0.169355,4 0.314516,5 0.193548,6 0.169355,7 0.314516,8 1}
{0 -768,1 120,2 0.25,3 0.216667,4 0.275,5 0.25,6 0.216667,7 0.275,8 1}
{0 -630,1 120,2 0.283333,3 0.233333,4 0.258333,5 0.283333,6 0.233333,7 0.258333,8 1}
{0 -718,1 120,2 0.241667,3 0.225,4 0.275,5 0.241667,6 0.225,7 0.275,8 1}
{0 -1768,1 133,2 0.180451,3 0.142857,4 0.338346,5 0.180451,6 0.142857,7 0.338346,8 1}
{0 -650,1 120,2 0.275,3 0.241667,4 0.25,5 0.275,6 0.241667,7 0.25,8 1}
{0 -884,1 116,2 0.206897,3 0.172414,4 0.301724,5 0.206897,6 0.172414,7 0.301724,8 1}
{0 -1166,1 123,2 0.203252,3 0.162602,4 0.300813,5 0.203252,6 0.162602,7 0.300813,8 1}
{0 -1106,1 123,2 0.195122,3 0.154472,4 0.300813,5 0.195122,6 0.154472,7 0.300813,8 1}
{0 -1132,1 123,2 0.195122,3 0.138211,4 0.308943,5 0.195122,6 0.138211,7 0.308943,8 1}
{0 -908,1 117,2 0.188034,3 0.153846,4 0.316239,5 0.188034,6 0.153846,7 0.316239,8 1}
{0 -650,1 110,2 0.190909,3 0.281818,4 0.245455,5 0.190909,6 0.281818,7 0.245455,8 1}
{0 -852,1 120,2 0.225,3 0.208333,4 0.308333,5 0.225,6 0.208333,7 0.308333,8 1}
{0 -862,1 120,2 0.266667,3 0.208333,4 0.233333,5 0.266667,6 0.208333,7 0.233333,8 1}
{0 -878,1 119,2 0.226891,3 0.218487,4 0.252101,5 0.226891,6 0.218487,7 0.252101,8 1}
{0 -450,1 118,2 0.313559,3 0.338983,4 0.152542,5 0.313559,6 0.338983,7 0.152542,8 1}
{0 -458,1 118,2 0.279661,3 0.347458,4 0.152542,5 0.279661,6 0.347458,7 0.152542,8 1}
{0 -452,1 118,2 0.305085,3 0.338983,4 0.152542,5 0.305085,6 0.338983,7 0.152542,8 1}
{0 -908,1 121,2 0.247934,3 0.22314,4 0.239669,5 0.247934,6 0.22314,7 0.239669,8 1}
{0 -774,1 119,2 0.260504,3 0.210084,4 0.235294,5 0.260504,6 0.210084,7 0.235294,8 1}
{0 -930,1 121,2 0.264463,3 0.22314,4 0.239669,5 0.264463,6 0.22314,7 0.239669,8 1}
{0 -784,1 119,2 0.277311,3 0.235294,4 0.226891,5 0.277311,6 0.235294,7 0.226891,8 1}
{0 -920,1 121,2 0.256198,3 0.22314,4 0.239669,5 0.256198,6 0.22314,7 0.239669,8 1}
{0 -938,1 121,2 0.256198,3 0.22314,4 0.239669,5 0.256198,6 0.22314,7 0.239669,8 1}
{0 -936,1 122,2 0.254098,3 0.221311,4 0.237705,5 0.254098,6 0.221311,7 0.237705,8 1}
{0 -778,1 123,2 0.243902,3 0.284553,4 0.227642,5 0.243902,6 0.284553,7 0.227642,8 1}
{0 -1022,1 120,2 0.216667,3 0.175,4 0.283333,5 0.216667,6 0.175,7 0.283333,8 1}
{0 -990,1 122,2 0.221311,3 0.155738,4 0.254098,5 0.221311,6 0.155738,7 0.254098,8 1}
{0 -748,1 120,2 0.233333,3 0.216667,4 0.266667,5 0.233333,6 0.216667,7 0.266667,8 1}
{0 -1028,1 121,2 0.206612,3 0.14876,4 0.297521,5 0.206612,6 0.14876,7 0.297521,8 1}
{0 -1024,1 119,2 0.201681,3 0.134454,4 0.302521,5 0.201681,6 0.134454,7 0.302521,8 1}
{0 -952,1 121,2 0.214876,3 0.14876,4 0.272727,5 0.214876,6 0.14876,7 0.272727,8 1}
{0 -712,1 120,2 0.241667,3 0.233333,4 0.275,5 0.241667,6 0.233333,7 0.275,8 1}
{0 -924,1 122,2 0.213115,3 0.139344,4 0.295082,5 0.213115,6 0.139344,7 0.295082,8 1}
{0 -886,1 118,2 0.262712,3 0.135593,4 0.322034,5 0.262712,6 0.135593,7 0.322034,8 1}
{0 -908,1 118,2 0.245763,3 0.135593,4 0.330508,5 0.245763,6 0.135593,7 0.330508,8 1}
{0 -926,1 120,2 0.225,3 0.116667,4 0.3,5 0.225,6 0.116667,7 0.3,8 1}
{0 -876,1 121,2 0.231405,3 0.140496,4 0.297521,5 0.231405,6 0.140496,7 0.297521,8 1}
{0 -908,1 120,2 0.216667,3 0.175,4 0.258333,5 0.216667,6 0.175,7 0.258333,8 1}
{0 -902,1 121,2 0.22314,3 0.132231,4 0.297521,5 0.22314,6 0.132231,7 0.297521,8 1}
{0 -884,1 120,2 0.216667,3 0.191667,4 0.25,5 0.216667,6 0.191667,7 0.25,8 1}
{0 -660,1 116,2 0.241379,3 0.215517,4 0.267241,5 0.241379,6 0.215517,7 0.267241,8 1}
{0 -816,1 117,2 0.239316,3 0.145299,4 0.290598,5 0.239316,6 0.145299,7 0.290598,8 1}
{0 -894,1 117,2 0.205128,3 0.153846,4 0.307692,5 0.205128,6 0.153846,7 0.307692,8 1}
{0 -842,1 116,2 0.206897,3 0.198276,4 0.275862,5 0.206897,6 0.198276,7 0.275862,8 1}
