@relation glass-0-1-6_vs_5-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute att_1 numeric
@attribute att_2 numeric
@attribute att_3 numeric
@attribute att_4 numeric
@attribute att_5 numeric
@attribute att_6 numeric
@attribute att_7 numeric
@attribute att_8 numeric
@attribute att_9 numeric
@attribute class {0,1}

@data
1.515888,12.87795,3.43036,1.40066,73.282,0.68931,8.04468,0,0.1224,1
1.517642,12.9777,3.53812,1.21127,73.002,0.65205,8.52888,0,0,1
1.52213,14.20795,3.82099,0.46976,71.77,0.11178,9.5726,0,0,1
1.522221,13.21045,3.7716,0.79076,71.9884,0.13041,10.2452,0,0,1
1.517551,13.39,3.65935,1.1888,72.7892,0.57132,8.27064,0,0.0561,1
1.520991,13.68925,3.592,1.12139,71.9604,0.08694,9.40044,0,0,1
1.517551,13.1506,3.60996,1.05077,73.2372,0.57132,8.23836,0,0,1
1.5191,13.90205,3.73119,1.17917,72.1228,0.0621,8.89472,0,0,1
1.517938,13.21045,3.47975,1.41029,72.638,0.58995,8.43204,0,0,1
1.518986,13.58285,3.34954,1.23053,72.078,0.58995,8.90548,0,0,1
1.512152,12.991,3.47077,1.12139,72.9796,0.621,8.34596,0,0.1581,1
1.519761,13.80895,3.57853,1.32041,71.7196,0.11799,8.66876,0.68985,0,1
1.51762,13.88875,3.60098,1.35893,72.7276,0.47817,7.82948,0,0,1
1.517847,12.67845,3.66833,1.15991,73.1084,0.60858,8.70104,0,0,1
1.517209,13.3767,3.5022,1.15028,72.8508,0.50301,8.43204,0,0,1
1.51746,12.83805,3.5022,1.14065,73.2708,0.5589,8.5504,0,0,1
1.522107,13.72915,3.83895,0.72014,71.7588,0.16767,9.74476,0,0,1
1.518235,12.8713,3.47975,1.29152,72.9516,0.60237,8.43204,0,0,1
1.519191,14.417,3.57853,1.36856,72.078,0.5589,8.30292,0,0,1
1.51762,12.79815,3.65935,1.26905,73.0076,0.60237,8.56116,0,0,1
1.517506,12.81145,3.56955,1.3493,73.0188,0.621,8.59344,0,0,1
1.517825,12.69175,3.53812,1.33967,72.9516,0.57132,8.75484,0,0,1
1.517938,12.7915,3.5022,1.12139,73.03,0.63963,8.7656,0,0,1
1.518371,13.1373,2.84217,1.27868,72.8508,0.55269,9.06688,0,0,1
1.521515,13.05085,3.65037,0.87101,72.218,0.19251,9.85236,0,0.0867,1
1.515957,12.7915,3.60996,1.61894,72.9684,0.63963,8.0662,0,0.1326,1
1.517346,13.0176,3.53812,1.68956,72.7276,0.54027,8.4428,0,0.0357,1
1.517756,12.85135,3.47975,1.23053,72.9684,0.60858,8.56116,0.09135,0.1122,1
1.517779,13.21045,3.38995,1.33004,72.7612,0.58995,8.59344,0,0,1
1.517551,13.4831,3.74017,1.16954,72.9908,0.58995,8.03392,0,0,1
1.521515,13.05085,3.65037,0.87101,72.3188,0.19251,9.85236,0,0.0867,1
1.517437,13.2969,3.60098,1.14065,73.0916,0.57753,8.1738,0,0,1
1.515706,12.71835,3.46179,1.56116,73.198,0.67068,8.08772,0,0.1224,1
1.517209,12.8713,3.47975,1.33004,73.0412,0.5589,8.43204,0,0,1
1.5191,13.88875,3.52914,1.32041,71.8092,0.50922,8.77636,0.11025,0,1
1.51869,13.1905,3.37199,1.17917,72.722,0.57132,8.83016,0,0.0816,1
1.52172,13.5097,3.8614,0.88064,71.7924,0.22977,9.54032,0,0.0561,1
1.517551,12.99765,3.60098,1.35893,72.9908,0.57132,8.39976,0,0.0561,1
1.51762,12.81145,3.53812,1.23053,73.2372,0.57753,8.389,0,0,1
1.517847,13.7745,3.48873,1.27868,72.862,0.60237,8.48584,0,0,1
1.517528,12.57205,3.47077,1.3814,73.3884,0.60237,8.5504,0,0.0306,1
1.51787,12.73165,3.43036,1.1888,72.9516,0.621,8.75484,0,0.153,1
1.523201,13.7225,3.72221,0.51149,71.7476,0.08694,10.568,0,0.0816,1
1.522996,13.3102,3.57853,0.81965,71.9884,0.11799,10.17516,0,0.0153,1
1.521014,13.6427,4.49,1.09892,71.7812,0.0621,8.75484,0,0,1
1.517506,12.8181,3.55159,1.49054,72.75,0.54027,8.51812,0,0.0969,1
1.52213,14.20795,3.82099,0.46976,71.77,0.11178,9.5726,0,0,1
1.526663,13.9885,3.69976,0.71051,71.5684,0.01863,9.82008,0,0.051,1
1.51926,13.19715,3.33158,1.27868,72.358,0.60237,9.1422,0,0.0561,1
1.52172,13.4831,3.74017,0.8999,72.0108,0.18009,9.60488,0,0.0357,1
1.516184,13.52965,3.55159,1.53869,72.9908,0.39123,7.77568,0,0,1
1.51762,12.61195,3.592,1.31078,73.2876,0.57753,8.4966,0,0,1
1.517688,12.55875,3.52016,1.42955,73.1476,0.57132,8.53964,0,0,1
1.517961,12.7383,3.47975,1.3493,72.9572,0.63963,8.67952,0,0,1
1.518075,13.4299,2.86911,1.1888,72.8396,0.55269,9.0346,0,0,1
1.521515,13.11735,3.57853,0.8999,72.2012,0.22977,9.82008,0,0.0816,1
1.517415,13.2703,3.61894,1.24016,73.0804,0.55269,8.0662,0,0,1
1.517483,12.858,3.56057,1.26905,73.2092,0.54027,8.37824,0,0.0867,1
